actual Rating,Predicted Rating
3.8,3.4357244588744607
3.8,3.2041063492063477
3.7,3.9043476190476163
2.8,3.358999999999999
4.3,4.1470000000000065
3.7,3.6720999999999977
3.4,3.3568000000000007
3.9,4.261000000000003
3.1,3.256111111111113
3.7,3.4324503422231345
3.5,3.2069250000000005
3.4,3.302833333333338
3.8,4.0506
3.2,3.255000000000003
3.0,3.781
2.7,3.3697333333333312
2.7,3.113244444444447
3.9,3.5876547619047625
4.4,4.420999999999995
3.9,3.613333333333334
4.2,4.234999999999997
3.8,3.8595499999999987
4.0,3.8050000000000006
3.7,3.6344999999999983
3.9,3.9566666666666612
4.0,4.106285714285715
4.1,3.865999999999999
3.7,3.6284642857142844
3.2,3.209427380952377
4.0,4.149
4.9,4.765999999999994
3.2,3.5529499999999983
3.5,3.292088492063491
3.6,3.6428690476190453
3.9,3.950999999999997
3.6,3.160999999999998
3.2,3.2223257742257743
3.7,3.885499999999997
3.7,3.775999999999996
4.6,4.4800000000000075
3.5,3.262722222222219
4.6,4.549000000000007
3.8,3.541000000000003
4.0,3.771248051948054
3.7,3.9001666666666712
4.0,3.524999999999999
3.8,3.563999999999999
2.9,3.373000000000002
2.8,3.1449999999999996
4.0,4.022149999999999
4.2,4.021000000000002
4.5,4.388999999999998
3.4,3.3372575595238105
3.3,3.2760000000000025
3.6,3.5094
3.2,3.245264285714286
3.4,3.3207023809523792
3.5,3.3246000000000038
4.2,3.6273333333333353
3.4,3.1706363636363655
3.9,3.822999999999999
2.4,2.845000000000005
4.1,3.969500000000001
4.1,4.238000000000003
3.3,3.357999999999998
4.1,4.0690000000000035
3.4,3.2840000000000025
3.4,3.282000000000003
4.0,3.3840000000000003
2.8,3.7217777777777727
4.3,4.206666666666672
3.1,3.5208666666666666
3.7,3.8879999999999972
3.5,3.2982976190476223
4.3,4.289000000000007
3.7,3.3718046953046947
4.2,3.817999999999994
3.3,3.516000000000005
3.9,3.9146666666666623
4.6,4.386500000000005
3.5,3.3168000000000024
4.1,4.0690000000000035
3.8,3.2640000000000033
2.6,3.711399999999998
4.1,4.1200000000000045
3.4,3.3348954004328992
4.0,3.765999999999997
3.1,3.2757000000000005
3.1,3.5790000000000024
3.7,3.6709999999999967
3.4,3.7249999999999988
3.8,3.874390476190479
4.2,4.154999999999992
3.5,3.282000000000003
3.4,3.4320158730158723
3.3,3.2749954527584566
3.7,3.7717003968253975
3.8,3.732799999999999
4.1,3.6080000000000023
3.6,3.192666666666666
3.7,3.501657467532468
4.0,3.8539999999999988
3.7,3.491525216329561
4.1,4.106000000000005
3.5,3.4480000000000013
4.3,4.239000000000007
